image_id,filename,target_class,class_id,gt_bbox_x,gt_bbox_y,gt_bbox_width,gt_bbox_height,detected,confidence,iou,best_same_class_confidence,best_same_class_iou,total_detections
1532,000000001532.jpg,car,3,225.05,361.7,195.39,118.3,Yes,0.829359,0.9407334512612511,0.829359,0.9407334512612511,9
7281,000000007281.jpg,person,1,344.85,132.99,128.41,166.36,Yes,0.794244,0.5828415915688726,0.794244,0.5828415915688726,10
8211,000000008211.jpg,person,1,325.94,203.2,84.58,150.59,Yes,0.909213,0.9400494002274575,0.909213,0.9400494002274575,6
8690,000000008690.jpg,person,1,136.7,18.6,214.82,378.24,Yes,0.794822,0.9443649010179582,0.794822,0.9443649010179582,4
10363,000000010363.jpg,car,3,90.83,27.17,549.17,333.83,Yes,0.730598,0.8646917669799248,0.730598,0.8646917669799248,4
11197,000000011197.jpg,car,3,400.15,153.67,85.97,40.35,Yes,0.884039,0.9282278561553592,0.884039,0.9282278561553592,15
15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,Yes,0.283718,0.8596497750230144,0.283718,0.8596497750230144,5
16228,000000016228.jpg,person,1,13,166,616,127,No,0.0,0.0,0.305363,0.05608193582362206,22
17029,000000017029.jpg,car,3,56.09,25.89,513.44,152.45,Yes,0.46231,0.8679071163974804,0.46231,0.8679071163974804,6
17178,000000017178.jpg,car,3,433.73,108.19,206.27,318.81,Yes,0.79733,0.9698684451258696,0.79733,0.9698684451258696,5
17207,000000017207.jpg,car,3,482.06,82.4,156.57,235.88,No,0.0,0.0,0.804617,0.0,6
17627,000000017627.jpg,car,3,30.14,233.37,117.33,94.28,Yes,0.751161,0.7428457504948531,0.751161,0.7428457504948531,14
22705,000000022705.jpg,person,1,143.5,83.4,219.55,525.2,Yes,0.884847,0.9828470376241041,0.884847,0.9828470376241041,6
22755,000000022755.jpg,car,3,362.56,228.16,58.21,25.68,Yes,0.456685,0.7784173134332392,0.456685,0.7784173134332392,2
23272,000000023272.jpg,car,3,0.0,0.08,499.46,370.98,Yes,0.37413,0.8230163659157118,0.37413,0.8230163659157118,2
25424,000000025424.jpg,person,1,129.97,243.92,185.92,396.08,Yes,0.885432,0.9531462099941234,0.885432,0.9531462099941234,3
25603,000000025603.jpg,person,1,322.87,109.78,317.13,304.57,Yes,0.75815,0.9493128630763475,0.75815,0.9493128630763475,18
26204,000000026204.jpg,car,3,163.71,242.28,127.94,89.73,Yes,0.890688,0.944699204251243,0.890688,0.944699204251243,14
32334,000000032334.jpg,person,1,228.67,5.39,410.97,469.22,Yes,0.435862,0.9443829041988911,0.435862,0.9443829041988911,13
33005,000000033005.jpg,person,1,272.83,150.65,57.09,182.25,Yes,0.818226,0.9379591670042194,0.818226,0.9379591670042194,2
33221,000000033221.jpg,person,1,8.98,101.54,134.7,231.46,Yes,0.862511,0.9554393549633706,0.862511,0.9554393549633706,11
40083,000000040083.jpg,car,3,134.63,136.24,118.88,73.05,Yes,0.958043,0.964778753221616,0.958043,0.964778753221616,10
43737,000000043737.jpg,car,3,111.23,416.09,81.12,38.0,Yes,0.352254,0.8053425705343887,0.352254,0.8053425705343887,5
44590,000000044590.jpg,car,3,573.02,78.14,66.98,56.15,No,0.0,0.0,0.0,0.0,26
46048,000000046048.jpg,person,1,407.11,137.84,95.81,135.19,Yes,0.842076,0.9675641193241713,0.842076,0.9675641193241713,5
50811,000000050811.jpg,person,1,72.22,66.09,393.79,425.13,Yes,0.902235,0.9746017485888987,0.902235,0.9746017485888987,9
51610,000000051610.jpg,person,1,345.8,98.48,244.55,302.82,Yes,0.919891,0.9689365573022511,0.919891,0.9689365573022511,4
52412,000000052412.jpg,car,3,1,193,638,232,No,0.0,0.0,0.416128,0.0027113051818364194,2
53529,000000053529.jpg,person,1,52.28,64.63,89.51,209.11,Yes,0.282876,0.7963533220749549,0.282876,0.7963533220749549,3
54967,000000054967.jpg,car,3,0,421,192,52,No,0.0,0.0,0.848769,0.18049524337097445,21
55150,000000055150.jpg,car,3,435.57,0.8,204.43,392.49,Yes,0.682534,0.6321870715084461,0.682534,0.6321870715084461,16
57150,000000057150.jpg,person,1,36.91,85.86,89.15,182.95,Yes,0.813685,0.8961768978839616,0.813685,0.8961768978839616,15
58539,000000058539.jpg,car,3,415.26,136.57,224.74,281.59,Yes,0.855636,0.9694614062669022,0.855636,0.9694614062669022,10
63154,000000063154.jpg,person,1,252.3,137.12,138.04,79.44,Yes,0.422443,0.5491381151660581,0.422443,0.5491381151660581,4
64868,000000064868.jpg,person,1,9.83,8.82,286.44,322.84,Yes,0.868071,0.8088593621987454,0.868071,0.8088593621987454,4
67213,000000067213.jpg,car,3,0.81,305.17,197.12,107.1,Yes,0.477677,0.9544746316502926,0.477677,0.9544746316502926,14
67310,000000067310.jpg,person,1,13.82,120.43,225.14,248.11,Yes,0.930217,0.8938956357957812,0.930217,0.8938956357957812,6
