image_name,attack_id,target_class,gt_x1,gt_y1,gt_x2,gt_y2,clean_valid,patched_valid,clean_confidence,patched_confidence,confidence_drop,clean_iou,patched_iou,iou_drop,attack_success,clean_prediction_count,patched_prediction_count,clean_target_class,patched_target_class,inference_time_clean_ms,inference_time_patched_ms,both_valid,eligible,status
000000001296.jpg,attack_02,person,7.16,1.57,427.0,635.84,True,True,0.8118190765380859,0.8059043288230896,0.005914747714996338,0.9773288703430533,0.9739650614724963,0.0033638088705569835,False,16,12,person,person,712.2298999966006,709.6202999964589,True,True,ok
000000001353.jpg,attack_02,person,138.58,198.11,266.63,382.65,True,True,0.5488125681877136,0.578870415687561,-0.030057847499847412,0.8611508465316424,0.876064294718499,-0.014913448186856582,False,11,9,person,person,642.0444999967003,636.2225000048056,True,True,ok
000000001532.jpg,attack_02,car,225.05,361.7,420.44,480.0,True,True,0.5955309271812439,0.6115986108779907,-0.016067683696746826,0.9061999239273519,0.9080084097697111,-0.0018084858423591532,False,11,11,car,car,643.8861999995424,632.8739999953541,True,True,ok
000000005001.jpg,attack_02,person,354.88,91.69,517.75,470.29,True,True,0.6516895890235901,0.6297421455383301,0.02194744348526001,0.9270569754537251,0.9227183503538506,0.004338625099874482,False,27,24,person,person,641.6778999991948,640.985099998943,True,True,ok
000000005193.jpg,attack_02,person,1.91,89.78,218.71,420.22,True,True,0.8642400503158569,0.8458276391029358,0.018412411212921143,0.9840060892732762,0.9800216506743823,0.003984438598893858,False,15,15,person,person,718.4485000034329,704.8104999994393,True,True,ok
000000009590.jpg,attack_02,person,0.0,52.78,237.01,427.0,True,True,0.8102757334709167,0.8503115177154541,-0.040035784244537354,0.9484157412406531,0.9533230583637283,-0.004907317123075239,False,41,41,person,person,704.1074000007939,701.8288000035682,True,True,ok
000000012120.jpg,attack_02,person,1.0,0.0,639.0,289.0,False,False,,,,,,,False,49,43,,,692.555400004494,694.5848999966984,False,False,ok
000000015338.jpg,attack_02,car,0.0,187.2,32.65,214.57,True,True,0.3194425404071808,0.4091585576534271,-0.08971601724624634,0.8398301551080947,0.8446402480508062,-0.004810092942711508,False,7,7,car,car,699.7703000015463,710.2879000012763,True,True,ok
000000017207.jpg,attack_02,car,482.06,82.4,638.63,318.28,True,True,0.31076928973197937,0.2578435242176056,0.05292576551437378,0.934744425925723,0.9514403138821044,-0.016695887956381328,False,7,6,car,car,633.9509000026737,637.8465000016149,True,True,ok
000000018770.jpg,attack_02,person,173.91,0.72,640.0,422.93,True,True,0.8821291327476501,0.8505793809890747,0.03154975175857544,0.894844022615494,0.9056630489832265,-0.010819026367732465,False,3,4,person,person,704.4155000039609,703.7173999997322,True,True,ok
000000018837.jpg,attack_02,car,591.1,254.64,624.5,301.66999999999996,True,True,0.32506582140922546,0.5197956562042236,-0.19472983479499817,0.7854715780954064,0.5755564953140987,0.20991508278130766,False,12,10,car,car,624.7046000062255,631.3969000038924,True,True,ok
000000021839.jpg,attack_02,car,0.0,456.46,32.44,518.59,True,True,0.5475060343742371,0.6024335622787476,-0.0549275279045105,0.6669223606713723,0.5339451438811306,0.13297721679024177,False,19,17,car,car,631.7484000028344,628.6171999963699,True,True,ok
000000024243.jpg,attack_02,person,41.88,60.24,307.11,473.66,True,True,0.9149537682533264,0.8058853149414062,0.10906845331192017,0.9757444774269048,0.9798400000382211,-0.0040955226113162935,False,24,23,person,person,633.6943999995128,636.4915000012843,True,True,ok
000000025393.jpg,attack_02,car,19.79,198.03,69.71000000000001,240.24,True,True,0.7105676531791687,0.5515729784965515,0.1589946746826172,0.6549449235032553,0.6509508968754852,0.003994026627770042,False,6,6,car,car,629.252800004906,634.4325000027311,True,True,ok
000000026926.jpg,attack_02,car,134.13,159.86,208.58999999999997,245.14000000000001,True,True,0.661956787109375,0.5119020938873291,0.1500546932220459,0.8296522997530982,0.7863578491337546,0.04329445061934356,False,4,3,car,car,707.4254999970435,706.8202999944333,True,True,ok
000000033759.jpg,attack_02,person,77.02,56.48,269.07,449.81,True,True,0.9173216819763184,0.9182714223861694,-0.0009497404098510742,0.9681772349908978,0.9570348062469792,0.011142428743918575,False,3,4,person,person,648.9476999995532,661.0869000069215,True,True,ok
000000033854.jpg,attack_02,car,0.96,217.83,269.28,420.75,True,True,0.5587624907493591,0.5124391913414001,0.046323299407958984,0.9525605530965204,0.9543309176936776,-0.0017703645971571813,False,30,33,car,car,694.4475999989663,698.6468999966746,True,True,ok
000000035682.jpg,attack_02,person,96.36,2.97,353.8,309.31,True,True,0.8880717158317566,0.8927868008613586,-0.004715085029602051,0.884120331852335,0.8889326281275448,-0.004812296275209849,False,22,24,person,person,630.6356999994023,629.8277000023518,True,True,ok
000000040083.jpg,attack_02,car,134.63,136.24,253.51,209.29000000000002,True,True,0.820628821849823,0.8136371374130249,0.006991684436798096,0.9484891683197539,0.952447292859417,-0.003958124539663044,False,14,14,car,car,703.174800000852,700.8356000005733,True,True,ok
000000041633.jpg,attack_02,car,561.27,326.88,627.7,371.01,True,True,0.6674270033836365,0.7747721672058105,-0.10734516382217407,0.7757322803650191,0.8827711033728589,-0.10703882300783985,False,5,5,car,car,702.7219000010518,694.3679000032716,True,True,ok
000000050380.jpg,attack_02,person,331.04,0.0,551.74,422.04,True,True,0.8737123012542725,0.8862671256065369,-0.012554824352264404,0.9900188975543374,0.9797974439909557,0.010221453563381666,False,8,10,person,person,693.4627000009641,694.9448000013945,True,True,ok
000000053626.jpg,attack_02,person,124.93,139.7,222.42000000000002,386.78999999999996,True,True,0.910082995891571,0.9074994325637817,0.0025835633277893066,0.9450789279230633,0.9405429356096239,0.004535992313439374,False,7,10,person,person,624.708900002588,626.5911999944365,True,True,ok
000000054967.jpg,attack_02,car,0.0,421.0,192.0,473.0,False,False,,,,,,,False,33,35,,,700.6873999998788,703.03089999652,False,False,ok
000000065350.jpg,attack_02,car,54.03,1.13,266.57,85.67999999999999,True,True,0.3522883355617523,0.3772852122783661,-0.02499687671661377,0.7395632456487232,0.7485111091243194,-0.008947863475596174,False,15,16,car,car,701.8147999988287,701.7103000034695,True,True,ok
000000065485.jpg,attack_02,car,7.36,34.36,640.0,364.0,True,False,0.2743540108203888,,,0.9666895339789108,,,True,3,3,car,,728.9544000013848,730.263700002979,False,True,ok
000000066706.jpg,attack_02,person,357.29,58.71,496.99,497.03999999999996,False,False,,,,,,,False,11,10,,,475.7322000004933,476.05629999452503,False,False,ok
000000067616.jpg,attack_02,car,391.31,339.93,537.21,444.49,True,True,0.6821770668029785,0.6328248381614685,0.04935222864151001,0.955217139632446,0.9526935807613407,0.002523558871105336,False,47,44,car,car,634.7463999991305,632.6128000000608,True,True,ok
000000073533.jpg,attack_02,person,6.49,32.97,467.08,480.0,True,True,0.444285124540329,0.5691855549812317,-0.12490043044090271,0.7371057199648072,0.729678903799602,0.007426816165205241,False,7,7,person,person,636.9099000003189,628.4844000037992,True,True,ok
000000074058.jpg,attack_02,person,27.67,158.53,102.07000000000001,334.65,True,True,0.3620511293411255,0.6343947052955627,-0.27234357595443726,0.6910029551043966,0.5231882558774865,0.16781469922691006,False,36,36,person,person,701.8829999942682,706.9391999975778,True,True,ok
000000078823.jpg,attack_02,car,9.29,160.0,475.87,474.84,True,True,0.4383256435394287,0.374531626701355,0.06379401683807373,0.943001180205304,0.949174347677704,-0.006173167472400043,False,6,6,car,car,640.796899999259,626.6717000034987,True,True,ok
000000082085.jpg,attack_02,person,69.68,177.61,115.0,335.88,True,True,0.8272669911384583,0.8090915083885193,0.018175482749938965,0.6325081439296557,0.631079797580679,0.0014283463489767056,False,13,13,person,person,696.762999999919,703.1703000029665,True,True,ok
000000086220.jpg,attack_02,car,134.24,209.08,445.45,335.6,True,True,0.8318055272102356,0.8339240550994873,-0.002118527889251709,0.9768748708109443,0.9757301336144494,0.0011447371964948827,False,9,8,car,car,694.6585000041523,696.9408000004478,True,True,ok
000000093353.jpg,attack_02,person,3.24,98.16,300.94,477.84000000000003,True,True,0.3314409852027893,0.2531069815158844,0.07833400368690491,0.9053530994336187,0.9749535377311399,-0.06960043829752116,False,7,8,person,person,626.4401000007638,631.0396999979275,True,True,ok
000000096825.jpg,attack_02,person,289.54,239.99,355.39,403.5,True,True,0.9165319204330444,0.9264726042747498,-0.009940683841705322,0.6753438312811394,0.6932606156391999,-0.017916784358060545,False,5,4,person,person,600.7114000021829,595.7829999970272,True,True,ok
