mitigation_id,source_attack_id,subset_role,image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,attack_random_seed,clean_detected,attacked_detected,eligible_for_asr,attack_success,clean_confidence,attacked_confidence,clean_iou,attacked_iou,patch_filename,patch_size_pixels,patch_scale,patch_center_x,patch_center_y,reconstructed_patch_size,reconstructed_patch_x,reconstructed_patch_y,reconstructed_x1,reconstructed_y1,reconstructed_x2,reconstructed_y2,control_selection_seed
mitigation_02,attack_05,control,9891,000000009891.jpg,car,3,284.76,79.89,355.24,220.05,640,480,2069153322,Yes,Yes,Yes,No,0.723297,0.60787,0.8123634862800098,0.8070242536876934,diffusion_patch_05.png,66,0.3,462.38,189.91500000000002,66,429.38,156.91500000000002,429,157,495,223,22021505
mitigation_02,attack_05,control,19924,000000019924.jpg,person,1,14.61,29.21,434.83,465.17,458,500,2069153322,Yes,Yes,Yes,No,0.9069,0.91808,0.9065397885247674,0.8965849244956537,diffusion_patch_05.png,130,0.3,232.02499999999998,261.795,130,167.02499999999998,196.79500000000002,167,197,297,327,22021505
mitigation_02,attack_05,control,21903,000000021903.jpg,person,1,334.38,224.36,216.81,250.25,640,480,2069153322,Yes,Yes,Yes,No,0.94385,0.936288,0.9255640496000762,0.9256210884304678,diffusion_patch_05.png,65,0.3,442.78499999999997,349.485,65,410.28499999999997,316.985,410,317,475,382,22021505
mitigation_02,attack_05,control,22755,000000022755.jpg,car,3,362.56,228.16,58.21,25.68,640,479,2069153322,Yes,Yes,Yes,No,0.456685,0.493246,0.7784173134332392,0.7778446943651685,diffusion_patch_05.png,8,0.3,391.665,241.0,8,387.665,237.0,388,237,396,245,22021505
mitigation_02,attack_05,control,149375,000000149375.jpg,person,1,208.17,42.17,185.28,333.51,640,485,2069153322,Yes,Yes,Yes,No,0.924774,0.915792,0.9295880206865968,0.9303213406219569,diffusion_patch_05.png,56,0.3,300.81,208.925,56,272.81,180.925,273,181,329,237,22021505
mitigation_02,attack_05,control,155341,000000155341.jpg,car,3,151.93,284.78,241.16,130.78,640,480,2069153322,Yes,Yes,Yes,No,0.826719,0.739795,0.9811707704523723,0.9812924827196746,diffusion_patch_05.png,39,0.3,272.51,350.16999999999996,39,253.01,330.66999999999996,253,331,292,370,22021505
mitigation_02,attack_05,control,171382,000000171382.jpg,car,3,0.0,175.45,275.42,101.97,640,426,2069153322,Yes,Yes,Yes,No,0.432245,0.391528,0.9557686281134414,0.9653819772703943,diffusion_patch_05.png,31,0.3,137.71,226.435,31,122.21000000000001,210.935,122,211,153,242,22021505
mitigation_02,attack_05,control,186042,000000186042.jpg,person,1,111.78,65.48,90.57,185.53,640,360,2069153322,Yes,Yes,Yes,No,0.87046,0.874526,0.9109479246220515,0.899946621669409,diffusion_patch_05.png,27,0.3,157.065,158.245,27,143.565,144.745,144,145,171,172,22021505
mitigation_02,attack_05,control,193162,000000193162.jpg,person,1,394.62,97.83,93.83,68.42,640,428,2069153322,Yes,Yes,Yes,No,0.388884,0.408264,0.9726413879913236,0.9764620446106268,diffusion_patch_05.png,21,0.3,441.535,132.04,21,431.035,121.53999999999999,431,122,452,143,22021505
mitigation_02,attack_05,control,275749,000000275749.jpg,person,1,311.98,125.39,87.9,226.69,500,375,2069153322,Yes,Yes,Yes,No,0.900464,0.897033,0.933337874116198,0.9320029329287314,diffusion_patch_05.png,26,0.3,355.93,238.735,26,342.93,225.735,343,226,369,252,22021505
