attack_id,image_id,filename,target_class,clean_detected,attacked_detected,clean_confidence,attacked_confidence,clean_iou,attacked_iou,eligible_for_asr,attack_success,patch_filename,patch_size_pixels,patch_scale,patch_center_x,patch_center_y
attack_02,9590,000000009590.jpg,person,Yes,Yes,0.900567,0.887392,0.9334095519062564,0.9280094606815582,Yes,No,diffusion_patch_02.png,71,0.3,118.505,239.89000000000001
attack_02,78823,000000078823.jpg,car,Yes,Yes,0.727214,0.609082,0.870086547452595,0.8982612260387908,Yes,No,diffusion_patch_02.png,94,0.3,242.57999999999998,317.41999999999996
attack_02,102411,000000102411.jpg,car,Yes,Yes,0.334507,0.638348,0.8775613204336685,0.8868196886391094,Yes,No,diffusion_patch_02.png,11,0.3,19.965,246.22
attack_02,122166,000000122166.jpg,car,Yes,Yes,0.750657,0.688251,0.9652864430486399,0.9662846342402597,Yes,No,diffusion_patch_02.png,46,0.3,240.67000000000002,340.85
attack_02,134886,000000134886.jpg,car,Yes,Yes,0.511704,0.484315,0.9447150845726618,0.914986335378242,Yes,No,diffusion_patch_02.png,18,0.3,461.285,403.90000000000003
attack_02,271997,000000271997.jpg,person,Yes,Yes,0.844354,0.828697,0.9753126746669472,0.9634036221733129,Yes,No,diffusion_patch_02.png,145,0.3,243.375,317.27
attack_02,278705,000000278705.jpg,car,Yes,Yes,0.813368,0.775845,0.9437880911718336,0.9485311326635447,Yes,No,diffusion_patch_02.png,41,0.3,161.79999999999998,203.595
attack_02,334309,000000334309.jpg,car,Yes,Yes,0.59564,0.640453,0.8968321739647029,0.8798770014347834,Yes,No,diffusion_patch_02.png,12,0.3,338.0,100.49000000000001
attack_02,365207,000000365207.jpg,car,Yes,Yes,0.617426,0.726801,0.5430752687671914,0.5002189618320543,Yes,No,diffusion_patch_02.png,53,0.3,506.08000000000004,348.175
attack_02,425226,000000425226.jpg,person,Yes,Yes,0.899982,0.89741,0.9502694650446666,0.9585517966209234,Yes,No,diffusion_patch_02.png,90,0.3,223.64,392.27
attack_02,436617,000000436617.jpg,person,Yes,Yes,0.8907,0.876841,0.9682442584055087,0.9629129503835534,Yes,No,diffusion_patch_02.png,59,0.3,157.10999999999999,300.21
attack_02,466986,000000466986.jpg,person,Yes,Yes,0.901856,0.884684,0.9712071531996818,0.9684951297565709,Yes,No,diffusion_patch_02.png,69,0.3,350.685,296.83500000000004
attack_02,532855,000000532855.jpg,person,Yes,Yes,0.881556,0.68323,0.814018587089302,0.84518304152407,Yes,No,diffusion_patch_02.png,67,0.3,205.90500000000003,113.31
attack_02,534041,000000534041.jpg,person,Yes,Yes,0.609187,0.490716,0.8659445038056318,0.8460612095186263,Yes,No,diffusion_patch_02.png,83,0.3,361.655,186.235
attack_02,550691,000000550691.jpg,car,Yes,Yes,0.881036,0.901018,0.9203083203952906,0.9152732635456817,Yes,No,diffusion_patch_02.png,21,0.3,158.745,321.365
attack_02,15338,000000015338.jpg,car,Yes,No,0.283718,0.0,0.8596497750230144,0.0,Yes,Yes,diffusion_patch_02.png,8,0.3,16.325,200.885
attack_02,26926,000000026926.jpg,car,Yes,No,0.252646,0.0,0.7606389546161549,0.0,Yes,Yes,diffusion_patch_02.png,22,0.3,171.35999999999999,202.5
attack_02,127263,000000127263.jpg,car,Yes,No,0.27451,0.0,0.9329578275272816,0.0,Yes,Yes,diffusion_patch_02.png,20,0.3,570.715,140.64
attack_02,135410,000000135410.jpg,car,Yes,No,0.270825,0.0,0.6187580273606919,0.0,Yes,Yes,diffusion_patch_02.png,28,0.3,266.725,268.875
attack_02,166391,000000166391.jpg,car,Yes,No,0.512845,0.0,0.9236275657862918,0.0,Yes,Yes,diffusion_patch_02.png,14,0.3,608.71,358.95500000000004
attack_02,181499,000000181499.jpg,person,Yes,No,0.376848,0.0,0.9311467974495277,0.0,Yes,Yes,diffusion_patch_02.png,36,0.3,227.68,444.40500000000003
attack_02,193717,000000193717.jpg,car,Yes,No,0.329352,0.0,0.9381606177941323,0.0,Yes,Yes,diffusion_patch_02.png,12,0.3,20.475,197.85500000000002
attack_02,338986,000000338986.jpg,car,Yes,No,0.665034,0.0,0.9128065470555072,0.0,Yes,Yes,diffusion_patch_02.png,31,0.3,348.99,574.99
attack_02,347370,000000347370.jpg,person,Yes,No,0.420738,0.0,0.816972565114441,0.0,Yes,Yes,diffusion_patch_02.png,28,0.3,47.855,203.275
attack_02,385029,000000385029.jpg,person,Yes,No,0.296063,0.0,0.9951020456221895,0.0,Yes,Yes,diffusion_patch_02.png,51,0.3,136.45,393.70500000000004
attack_02,393093,000000393093.jpg,car,Yes,No,0.751928,0.0,0.9418535031675658,0.0,Yes,Yes,diffusion_patch_02.png,14,0.3,320.44,378.255
attack_02,407083,000000407083.jpg,car,Yes,No,0.353103,0.0,0.8382559394009172,0.0,Yes,Yes,diffusion_patch_02.png,144,0.3,240.0,313.35
attack_02,413689,000000413689.jpg,car,Yes,No,0.53178,0.0,0.7598480542766571,0.0,Yes,Yes,diffusion_patch_02.png,7,0.3,27.88,156.18
attack_02,527220,000000527220.jpg,car,Yes,No,0.567127,0.0,0.9649473444849205,0.0,Yes,Yes,diffusion_patch_02.png,46,0.3,84.5,80.75
attack_02,542776,000000542776.jpg,person,Yes,No,0.326155,0.0,0.9807364703494991,0.0,Yes,Yes,diffusion_patch_02.png,67,0.3,443.015,309.205
