image_id,filename,target_class,case_type,patch_size,official_commit,gaussian_kernel_size,kmeans,reference_mask_iou,reference_precision,reference_recall,reference_predicted_area,true_patch_area,area_ratio_reference,clean_detected,clean_confidence,clean_iou,attacked_detected,attacked_confidence,attacked_iou,reference_detected,reference_confidence,reference_iou,reference_recovered,reference_control_preserved,inference_time_sec,sample_mode,status
000000127263,000000127263.jpg,car,attack_success,20,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.09771212935447693, 0.35785144567489624], ""adversarial_label"": 1, ""predicted_mask_area_512"": 18447, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.019511941308080545,0.019537355423569866,0.9375,19194,400,47.985,True,0.273681640625,0.9305706983281699,False,,,False,,,False,False,125.90910930000246,official_batch_size_2,completed
000000393093,000000393093.jpg,car,attack_success,14,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.08590690791606903, 0.3310390114784241], ""adversarial_label"": 1, ""predicted_mask_area_512"": 42430, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.004332539412498582,0.004333030852994555,0.9744897959183674,44080,196,224.89795918367346,True,0.75048828125,0.9401626413620505,False,,,False,,,False,False,103.05586019999464,official_batch_size_2,completed
000000026926,000000026926.jpg,car,attack_success,22,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.0818607285618782, 0.42485737800598145], ""adversarial_label"": 1, ""predicted_mask_area_512"": 14897, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.026951913133402276,0.027069133398247323,0.8615702479338843,15405,484,31.828512396694215,True,0.25341796875,0.7601258467316567,False,,,False,,,False,False,115.6976668999996,official_batch_size_2,completed
000000407083,000000407083.jpg,car,attack_success,144,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.052737362682819366, 0.3349487781524658], ""adversarial_label"": 1, ""predicted_mask_area_512"": 17302, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.11183007071286209,0.20493320658427977,0.19753086419753085,19987,20736,0.9638792438271605,True,0.3525390625,0.8390357995282824,False,,,False,,,False,False,112.82172019999416,official_batch_size_2,completed
000000181499,000000181499.jpg,person,attack_success,36,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.05555454269051552, 0.33316707611083984], ""adversarial_label"": 1, ""predicted_mask_area_512"": 10970, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.09270317506554035,0.09285870595958859,0.9822530864197531,13709,1296,10.577932098765432,True,0.377685546875,0.9309701135205988,False,,,True,0.342529296875,0.865528558189501,True,False,116.33850500000699,official_batch_size_2,completed
000000347370,000000347370.jpg,person,attack_success,28,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.06051952764391899, 0.17705093324184418], ""adversarial_label"": 1, ""predicted_mask_area_512"": 41820, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.02615512927439533,0.02615512927439533,1.0,29975,784,38.233418367346935,True,0.416259765625,0.8173004719345807,False,,,False,,,False,False,109.18037690001074,official_batch_size_2,completed
000000385029,000000385029.jpg,person,attack_success,51,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.29407137632369995, 0.07431155443191528], ""adversarial_label"": 0, ""predicted_mask_area_512"": 19431, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.10219842906665497,0.1034329617622241,0.8954248366013072,22517,2601,8.657054978854287,True,0.298583984375,0.9941843332807921,False,,,False,,,False,False,108.94343270000536,official_batch_size_2,completed
000000542776,000000542776.jpg,person,attack_success,67,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.08271326869726181, 0.41163045167922974], ""adversarial_label"": 1, ""predicted_mask_area_512"": 3225, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.43455210237659964,0.7078618225134008,0.5295165961238584,3358,4489,0.7480507908220093,True,0.325927734375,0.9805341399655805,False,,,False,,,False,False,108.49572700000135,official_batch_size_2,completed
000000331604,000000331604.jpg,person,control,21,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.035830508917570114, 0.25334131717681885], ""adversarial_label"": 1, ""predicted_mask_area_512"": 4969, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.08459620180318435,0.08459620180318435,1.0,5213,441,11.820861678004535,True,0.80810546875,0.8442260805065702,True,0.8193359375,0.8546252871434529,True,0.68310546875,0.8269536783501387,False,True,125.1851699000108,official_batch_size_2,completed
000000357737,000000357737.jpg,car,control,43,80c59b9b4a6c4060107a8b4485d3885128c2ae81,15,"{""gaussian_kernel_size"": 15, ""gaussian_sigma"": 1.0, ""centroids"": [0.12085327506065369, 0.39426130056381226], ""adversarial_label"": 1, ""predicted_mask_area_512"": 48689, ""morph_open"": true, ""with_loc"": false, ""kmeans_n_init"": ""auto"", ""kmeans_random_state"": 20260817}",0.02592767543169055,0.02609522467953233,0.8015143320713899,56792,1849,30.714981070849106,True,0.9033203125,0.9470126045053324,True,0.8828125,0.9433100814032738,True,0.92822265625,0.9456021651010432,False,True,107.47181960000307,official_batch_size_2,completed
