image_name,attack_id,target_class,gt_x1,gt_y1,gt_x2,gt_y2,clean_detected,clean_class,clean_confidence,clean_iou,patched_detected,patched_class,patched_confidence,patched_iou,eligible,attack_success,confidence_drop,iou_drop,both_valid
000000000785.jpg,attack_01,person,280.79,44.73,499.49,391.41,True,person,0.9538273215293884,0.9741051481388101,True,person,0.949943482875824,0.9756991460475769,True,False,0.003883838653564453,-0.0015939979087667977,True
000000009891.jpg,attack_01,person,206.64,92.56,357.30999999999995,416.5,True,person,0.9429970979690552,0.9142395458376114,True,person,0.939756453037262,0.9121608120610746,True,False,0.003240644931793213,0.0020787337765367786,True
000000011197.jpg,attack_01,person,309.74,112.02,362.96000000000004,253.05,True,person,0.9225834012031555,0.9414735340419118,True,person,0.9180523753166199,0.9398797469780432,True,False,0.0045310258865356445,0.0015937870638685903,True
000000017178.jpg,attack_01,car,433.73,108.19,640.0,427.0,True,car,0.9616171717643738,0.9819547999126956,True,car,0.9612025618553162,0.9820912094955635,True,False,0.0004146099090576172,-0.00013640958286786908,True
000000018150.jpg,attack_01,person,3.24,2.16,412.04,432.54,True,person,0.9658568501472473,0.9083929836288375,True,person,0.9547328352928162,0.9028776168435008,True,False,0.011124014854431152,0.005515366785336706,True
000000019786.jpg,attack_01,person,250.28,16.01,479.49,371.63,True,person,0.9151434898376465,0.9561404710762424,True,person,0.9197115302085876,0.960474084574504,True,False,-0.004568040370941162,-0.004333613498261557,True
000000038118.jpg,attack_01,person,125.7,218.62,213.01999999999998,346.24,True,person,0.9325743317604065,0.8776528819112763,True,person,0.9214881658554077,0.8757255959026059,True,False,0.01108616590499878,0.0019272860086704258,True
000000043737.jpg,attack_01,car,111.23,416.09,192.35000000000002,454.09,True,car,0.7898284196853638,0.8227192401743361,True,car,0.74595707654953,0.8846834753976242,True,False,0.04387134313583374,-0.06196423522328809,True
000000044590.jpg,attack_01,car,573.02,78.14,640.0,134.29,False,,,,False,,,,False,False,,,False
000000046463.jpg,attack_01,person,0.9,40.45,260.66999999999996,395.51,True,person,0.7832373380661011,0.9588783037845174,True,person,0.7539352178573608,0.9558657351364299,True,False,0.029302120208740234,0.0030125686480875213,True
000000047740.jpg,attack_01,person,0.0,147.03,476.78,355.97,True,person,0.9509550929069519,0.992730194830107,True,person,0.9548764824867249,0.9944743510149948,True,False,-0.003921389579772949,-0.0017441561848877685,True
000000048396.jpg,attack_01,person,124.74,0.96,357.90999999999997,421.23999999999995,True,person,0.958807110786438,0.9873905386976574,True,person,0.9557439088821411,0.9848978859585534,True,False,0.003063201904296875,0.002492652739103929,True
000000050679.jpg,attack_01,car,475.72,168.22,563.6,223.62,True,car,0.26595738530158997,0.9125373004671663,True,car,0.526256799697876,0.9105073327179555,True,False,-0.260299414396286,0.002029967749210826,True
000000052507.jpg,attack_01,person,105.63,107.14,182.45,291.05,True,person,0.9067926406860352,0.9377450751059349,True,person,0.9096701741218567,0.945545275683273,True,False,-0.002877533435821533,-0.007800200577338101,True
000000054593.jpg,attack_01,car,110.86,75.03,310.13,183.03,True,car,0.794488251209259,0.919468314566747,True,car,0.819054365158081,0.8961122254836636,True,False,-0.02456611394882202,0.023356089083083398,True
000000055950.jpg,attack_01,person,82.24,69.18,305.31,389.89,True,person,0.9671902060508728,0.9787126876245621,True,person,0.9651623368263245,0.9777627716326871,True,False,0.00202786922454834,0.0009499159918749944,True
000000057597.jpg,attack_01,car,332.36,104.08,427.58000000000004,134.37,True,car,0.7470009326934814,0.8566495697037257,True,car,0.7691038250923157,0.780829845828621,True,False,-0.02210289239883423,0.07581972387510472,True
000000058539.jpg,attack_01,car,415.26,136.57,640.0,418.15999999999997,True,car,0.9109225273132324,0.9694948730156334,True,car,0.8543204069137573,0.9688237981367488,True,False,0.0566021203994751,0.0006710748788846255,True
000000063965.jpg,attack_01,person,2.85,0.0,640.0,420.34,True,person,0.6160492897033691,0.9814066397874045,True,person,0.47022947669029236,0.9920743444315866,True,False,0.14581981301307678,-0.010667704644182097,True
000000067213.jpg,attack_01,car,0.81,305.17,197.93,412.27,True,car,0.3505556285381317,0.9371188739770365,True,car,0.7808802723884583,0.9157303008197993,True,False,-0.43032464385032654,0.02138857315723719,True
000000078404.jpg,attack_01,person,218.06,9.28,405.3,306.34999999999997,True,person,0.9377253651618958,0.8007158349390178,True,person,0.9153503179550171,0.8063255069489947,True,False,0.022375047206878662,-0.005609672009976974,True
000000080022.jpg,attack_01,person,279.12,108.21,426.32,426.0,True,person,0.9544195532798767,0.9314828689294593,True,person,0.9538686275482178,0.9348368816642524,True,False,0.0005509257316589355,-0.003354012734793077,True
000000084170.jpg,attack_01,car,132.29,261.12,230.25,337.14,True,car,0.9208312630653381,0.8758507415097279,True,car,0.9200804233551025,0.8805600232728799,True,False,0.0007508397102355957,-0.004709281763151996,True
000000087038.jpg,attack_01,person,1.0,190.0,639.0,291.0,False,,,,False,,,,False,False,,,False
000000088462.jpg,attack_01,car,24.78,187.76,82.25,230.12,True,car,0.899132251739502,0.9334919310145415,True,car,0.8975090980529785,0.9292956207131697,True,False,0.0016231536865234375,0.004196310301371797,True
000000089556.jpg,attack_01,car,1.13,166.02,297.04,386.26,True,car,0.934625506401062,0.9661509300313764,True,car,0.9307257533073425,0.9553748444467556,True,False,0.0038997530937194824,0.010776085584620843,True
000000089697.jpg,attack_01,person,253.32,233.45,350.21,360.5,True,person,0.8108665943145752,0.9228679497051833,True,person,0.571082592010498,0.7158296770162111,True,False,0.23978400230407715,0.20703827268897212,True
000000090284.jpg,attack_01,person,67.19,143.09,586.1099999999999,564.8,True,person,0.9749277830123901,0.9906535265234357,True,person,0.9615795016288757,0.9903306154952698,True,False,0.013348281383514404,0.00032291102816595085,True
000000091495.jpg,attack_01,person,14.73,113.03,240.32,422.67999999999995,True,person,0.9412103891372681,0.983784017427767,True,person,0.4138635993003845,0.9843500977392132,True,False,0.5273467898368835,-0.0005660803114462265,True
000000092416.jpg,attack_01,person,66.01,48.22,367.34999999999997,640.0,True,person,0.9507761001586914,0.97306117448676,True,person,0.9548932313919067,0.9733815874100837,True,False,-0.004117131233215332,-0.00032041292332374294,True
