experiment_id,source_attack,image_id,filename,target_class,subset_type,checkerboard_grid_n,diffusion_steps,sampler,resolution,checkpoint_path,ldm_commit,clean_pixels_used_for_restoration,known_patch_location_used_by_defense,original_width,original_height,clean_detected,attacked_detected,rectified_detected,attack_success,recovered_target,control_preserved,control_regression,clean_confidence,attacked_confidence,rectified_confidence,confidence_recovery,clean_iou,attacked_iou,rectified_iou,iou_recovery,true_patch_x1,true_patch_y1,true_patch_x2,true_patch_y2,true_patch_area,predicted_mask_area,mask_iou,mask_precision,mask_recall,false_positive_pixels,false_negative_pixels,false_positive_benign_ratio,regeneration_time_sec,difference_time_sec,kmeans_time_sec,rectification_time_sec,detector_time_sec,total_time_sec,status,error_message
mitigation_01,attack_02,000000015338,000000015338.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,640,424,True,False,False,True,False,False,False,0.283447265625,,,,0.8664220135201918,,,,12.325,196.885,20.325,204.885,81,40857,0.0015902918797250018,0.0015909146535477397,0.8024691358024691,40792,16,0.15036917712023415,97.86149449999903,0.02426980000018375,2.356698800000231,0.022619199999098782,20.178592899999785,120.72186839999995,completed,
mitigation_01,attack_02,000000026926,000000026926.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,423,640,True,False,False,True,False,False,False,0.25341796875,,,,0.7601258467316567,,,,160.35999999999999,191.5,182.35999999999999,213.5,529,16424,0.025838073338981,0.0259985387238188,0.8071833648393195,15997,102,0.05920626519758245,94.62118790000022,0.01152130000082252,0.27948449999894365,0.018935400001282687,17.996825100000933,113.15758970000024,completed,
mitigation_01,attack_02,000000127263,000000127263.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,640,427,True,False,True,True,True,False,False,0.273681640625,,0.36962890625,,0.9305706983281699,,0.9650522256640931,,560.715,130.64,580.715,150.64,441,22623,0.01881791677710045,0.018830393846969898,0.9659863945578231,22197,15,0.08135567129332684,95.81886379999924,0.008961300000009942,0.30282809999880556,0.02126730000054522,17.918484900001204,114.28183759999956,completed,
mitigation_01,attack_02,000000135410,000000135410.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,480,640,True,False,False,True,False,False,False,0.267822265625,,,,0.6182787717563948,,,,252.72500000000002,254.875,280.725,282.875,841,35598,0.02224653537563822,0.02227653238946008,0.9429250891795482,34805,48,0.11360854422425977,94.62131619999855,0.011446100001194282,0.30609630000071775,0.020281099999920116,19.10024589999921,114.28358780000053,completed,
mitigation_01,attack_02,000000166391,000000166391.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,640,427,True,False,False,True,False,False,False,0.5126953125,,,,0.9179065338046075,,,,601.71,351.95500000000004,615.71,365.95500000000004,225,20051,0.011221385467059,0.011221385467059,1.0,19826,0,0.07260808262071744,94.56922919999852,0.00974580000001879,0.3272340000003169,0.021590700000160723,18.034838699999455,113.21871499999907,completed,
mitigation_01,attack_02,000000181499,000000181499.jpg,person,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,640,513,True,False,False,True,False,False,False,0.377685546875,,,,0.9309701135205988,,,,209.68,426.40500000000003,245.68,462.40500000000003,1369,17628,0.07351943942133815,0.0738030406171999,0.9503287070854638,16327,68,0.04993714654489511,94.65536729999985,0.008891900000890018,0.2902656999995088,0.020903099999486585,21.84477589999915,117.06252329999916,completed,
mitigation_01,attack_02,000000193717,000000193717.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,521,640,True,False,False,True,False,False,False,0.329833984375,,,,0.9348074009009987,,,,14.475000000000001,191.85500000000002,26.475,203.85500000000002,169,27343,0.005298352029816933,0.0053030025966426505,0.8579881656804734,27198,24,0.08160926093179424,94.63540869999815,0.012325300000156858,0.23747739999998885,0.021072899999126093,22.075827599999684,117.21585190000042,completed,
mitigation_01,attack_02,000000338986,000000338986.jpg,car,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,403,640,True,False,False,True,False,False,False,0.6640625,,,,0.9101636114830297,,,,333.49,559.49,364.49,590.49,1024,23301,0.043677865019092973,0.0436891120552766,0.994140625,22283,6,0.08673938091679123,94.68102679999902,0.01199339999948279,0.3199370000002091,0.02240960000017367,16.474962099999175,111.76176200000009,completed,
mitigation_01,attack_02,000000347370,000000347370.jpg,person,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,500,375,True,False,False,True,False,False,False,0.416259765625,,,,0.8173004719345807,,,,33.855,189.275,61.855,217.275,841,32391,0.02583732057416268,0.025840511253125868,0.995243757431629,31554,4,0.1690462286843924,94.8383861000002,0.01141289999941364,0.29535240000041085,0.020126699999309494,19.27927559999989,114.6953895000006,completed,
mitigation_01,attack_02,000000385029,000000385029.jpg,person,attack_success,32,5,DDIM,512,D:\project CS\DISPATCH-Defense\third_party\latent-diffusion\models\ldm\inpainting_big\last.ckpt,a506df5756472e2ebaf9078affdde2c4f1502cd4,False,False,640,480,True,False,False,True,False,False,False,0.298583984375,,,,0.9941843332807921,,,,110.94999999999999,368.20500000000004,161.95,419.20500000000004,2704,27916,0.08824679247965313,0.088945407651526,0.9182692307692307,25433,221,0.08352490673112291,94.58767669999907,0.012845700000980287,0.3213004999997793,0.02463470000111556,19.065908700000364,114.25177780000013,completed,
