attack_id,image_id,filename,target_class,clean_detected,attacked_detected,clean_confidence,attacked_confidence,confidence_drop,confidence_drop_percent,clean_iou,attacked_iou,iou_drop,clean_total_detections,attacked_total_detections,detection_count_change,eligible_for_asr,attack_success,patch_filename,patch_size_pixels,patch_scale
attack_05,2153,000000002153.jpg,person,Yes,Yes,0.898497,0.742630,0.155867,17.347526,0.972469,0.873937,0.098532,7,7,0,Yes,No,diffusion_patch_05.png,51,0.3
attack_05,2299,000000002299.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,26,29,3,No,No,diffusion_patch_05.png,79,0.3
attack_05,2532,000000002532.jpg,person,Yes,Yes,0.847774,0.820743,0.027031,3.188468,0.940996,0.945843,-0.004847,2,2,0,Yes,No,diffusion_patch_05.png,30,0.3
attack_05,4395,000000004395.jpg,person,Yes,Yes,0.902732,0.851401,0.051331,5.686184,0.967900,0.993212,-0.025311,2,3,1,Yes,No,diffusion_patch_05.png,127,0.3
attack_05,5060,000000005060.jpg,person,Yes,Yes,0.841124,0.886272,-0.045148,-5.367580,0.979338,0.981351,-0.002013,3,2,-1,Yes,No,diffusion_patch_05.png,50,0.3
attack_05,6471,000000006471.jpg,person,Yes,Yes,0.899064,0.895147,0.003917,0.435675,0.871730,0.880820,-0.009091,13,14,1,Yes,No,diffusion_patch_05.png,29,0.3
attack_05,9891,000000009891.jpg,car,Yes,Yes,0.723297,0.607870,0.115427,15.958451,0.812363,0.807024,0.005339,11,11,0,Yes,No,diffusion_patch_05.png,66,0.3
attack_05,15335,000000015335.jpg,person,Yes,Yes,0.859791,0.699276,0.160515,18.669072,0.950828,0.966170,-0.015342,7,8,1,Yes,No,diffusion_patch_05.png,82,0.3
attack_05,15338,000000015338.jpg,car,Yes,No,0.283718,0.000000,0.283718,100.000000,0.859650,0.000000,0.859650,5,4,-1,Yes,Yes,diffusion_patch_05.png,8,0.3
attack_05,15956,000000015956.jpg,person,Yes,Yes,0.881979,0.880895,0.001084,0.122905,0.917625,0.922490,-0.004865,5,5,0,Yes,No,diffusion_patch_05.png,24,0.3
