mitigation_id,source_attack_id,image_id,filename,target_class,case_type,clean_detected,attacked_detected,mitigated_detected,clean_confidence,attacked_confidence,mitigated_confidence,confidence_recovery,clean_to_mitigated_confidence_gap,clean_iou,attacked_iou,mitigated_iou,iou_recovery,clean_to_mitigated_iou_gap,attack_success,recovered_after_mitigation,control_preserved,control_regressed,patch_size_pixels,patch_x1,patch_y1,patch_x2,patch_y2,restoration_seed
mitigation_02,attack_05,9891,000000009891.jpg,car,control,Yes,Yes,Yes,0.723297,0.60787,0.782354,0.17448399999999997,-0.059057000000000026,0.8123634862800098,0.8070242536876934,0.8263701848724903,0.019345931184796883,-0.014006698592480493,No,No,Yes,No,66,429,157,495,223,20260727
mitigation_02,attack_05,19924,000000019924.jpg,person,control,Yes,Yes,Yes,0.9069,0.91808,0.919124,0.001044000000000045,-0.012224000000000013,0.9065397885247674,0.8965849244956537,0.9109941341240263,0.014409209628372555,-0.0044543455992589465,No,No,Yes,No,130,167,197,297,327,20260727
mitigation_02,attack_05,21903,000000021903.jpg,person,control,Yes,Yes,Yes,0.94385,0.936288,0.927488,-0.00880000000000003,0.016361999999999988,0.9255640496000762,0.9256210884304678,0.9208980651883543,-0.004723023242113489,0.004665984411721946,No,No,Yes,No,65,410,317,475,382,20260727
mitigation_02,attack_05,22755,000000022755.jpg,car,control,Yes,Yes,No,0.456685,0.493246,0.0,-0.493246,0.456685,0.7784173134332392,0.7778446943651685,0.0,-0.7778446943651685,0.7784173134332392,No,No,No,Yes,8,388,237,396,245,20260727
mitigation_02,attack_05,149375,000000149375.jpg,person,control,Yes,Yes,Yes,0.924774,0.915792,0.917504,0.0017119999999999358,0.007269999999999999,0.9295880206865968,0.9303213406219569,0.9336902945040374,0.003368953882080472,-0.004102273817440549,No,No,Yes,No,56,273,181,329,237,20260727
mitigation_02,attack_05,155341,000000155341.jpg,car,control,Yes,Yes,Yes,0.826719,0.739795,0.883357,0.14356199999999997,-0.056637999999999966,0.9811707704523723,0.9812924827196746,0.9702622905537334,-0.011030192165941255,0.010908479898638967,No,No,Yes,No,39,253,331,292,370,20260727
mitigation_02,attack_05,171382,000000171382.jpg,car,control,Yes,Yes,Yes,0.432245,0.391528,0.54192,0.15039199999999997,-0.10967499999999997,0.9557686281134414,0.9653819772703943,0.547530644382131,-0.41785133288826337,0.4082379837313105,No,No,Yes,No,31,122,211,153,242,20260727
mitigation_02,attack_05,186042,000000186042.jpg,person,control,Yes,Yes,Yes,0.87046,0.874526,0.821388,-0.05313800000000002,0.049072000000000005,0.9109479246220515,0.899946621669409,0.8843723361845783,-0.015574285484830641,0.026575588437473208,No,No,Yes,No,27,144,145,171,172,20260727
mitigation_02,attack_05,193162,000000193162.jpg,person,control,Yes,Yes,Yes,0.388884,0.408264,0.304109,-0.104155,0.08477499999999999,0.9726413879913236,0.9764620446106268,0.9678540114034959,-0.008608033207130883,0.004787376587827685,No,No,Yes,No,21,431,122,452,143,20260727
mitigation_02,attack_05,275749,000000275749.jpg,person,control,Yes,Yes,Yes,0.900464,0.897033,0.897162,0.00012900000000004574,0.003302000000000027,0.933337874116198,0.9320029329287314,0.928874439910346,-0.0031284930183853588,0.004463434205851935,No,No,Yes,No,26,343,226,369,252,20260727
