image_name,attack_id,target_class,gt_x1,gt_y1,gt_x2,gt_y2,clean_valid,patched_valid,clean_confidence,patched_confidence,confidence_drop,clean_iou,patched_iou,iou_drop,attack_success,clean_prediction_count,patched_prediction_count,clean_target_class,patched_target_class,inference_time_clean_ms,inference_time_patched_ms,both_valid,eligible,status
000000001532.jpg,attack_04,car,225.05,361.7,420.44,480.0,True,True,0.5955309271812439,0.5981243848800659,-0.0025934576988220215,0.9061999239273519,0.9050345372932924,0.0011653866340595176,False,11,11,car,car,628.8572000048589,627.6304999992135,True,True,ok
000000007281.jpg,attack_04,person,344.85,132.99,473.26,299.35,True,True,0.8422648310661316,0.6726554036140442,0.1696094274520874,0.6020542436567217,0.6097806445300387,-0.007726400873316996,False,15,15,person,person,725.7553000017651,725.1719000050798,True,True,ok
000000008211.jpg,attack_04,person,325.94,203.2,410.52,353.78999999999996,True,True,0.9036163091659546,0.8939675688743591,0.009648740291595459,0.917447916925864,0.9273466397405231,-0.009898722814659089,False,8,7,person,person,654.2473000008613,659.1418999960297,True,True,ok
000000008690.jpg,attack_04,person,136.7,18.6,351.52,396.84000000000003,True,True,0.8920224905014038,0.8820869326591492,0.009935557842254639,0.9076608345542535,0.9063141566607673,0.0013466778934861923,False,9,9,person,person,636.3352999978815,629.5202000037534,True,True,ok
000000010363.jpg,attack_04,car,90.83,27.17,640.0,361.0,True,True,0.4114924669265747,0.33506128191947937,0.07643118500709534,0.9712961162210884,0.9618197308997941,0.009476385321294245,False,4,4,car,car,736.2412000002223,733.1696000037482,True,True,ok
000000011197.jpg,attack_04,car,400.15,153.67,486.12,194.01999999999998,True,True,0.8345708847045898,0.8275235891342163,0.007047295570373535,0.9644925213851505,0.9666528993282759,-0.002160377943125402,False,21,21,car,car,706.8239000000176,703.5984000031021,True,True,ok
000000015338.jpg,attack_04,car,0.0,187.2,32.65,214.57,True,True,0.3194425404071808,0.40291956067085266,-0.08347702026367188,0.8398301551080947,0.8429342731954015,-0.0031041180873068175,False,7,7,car,car,703.0589999994845,699.9546000006376,True,True,ok
000000016228.jpg,attack_04,person,13.0,166.0,629.0,293.0,False,False,,,,,,,False,33,34,,,679.4423999963328,679.8860999988392,False,False,ok
000000017029.jpg,attack_04,car,56.09,25.89,569.5300000000001,178.33999999999997,True,True,0.7057830095291138,0.7769322395324707,-0.07114923000335693,0.9155785034823972,0.8987756157763443,0.01680288770605287,False,7,6,car,car,476.6496999945957,472.70790000038687,True,True,ok
000000017178.jpg,attack_04,car,433.73,108.19,640.0,427.0,True,True,0.5179774761199951,0.41296687722206116,0.10501059889793396,0.9395174751377404,0.9303780325742549,0.009139442563485534,False,9,7,car,car,697.3089999955846,695.1551000020117,True,True,ok
000000017207.jpg,attack_04,car,482.06,82.4,638.63,318.28,True,False,0.31076928973197937,,,0.934744425925723,,,True,7,6,car,,638.2228000002215,626.8274000030942,False,True,ok
000000017627.jpg,attack_04,car,30.14,233.37,147.47,327.65,True,True,0.3150787651538849,0.37127724289894104,-0.05619847774505615,0.786358571071925,0.6570215304753212,0.12933704059660378,False,23,25,car,car,635.3717999954824,635.4275000048801,True,True,ok
000000022705.jpg,attack_04,person,143.5,83.4,363.05,608.6,True,True,0.9098210334777832,0.9148733019828796,-0.0050522685050964355,0.9635525501903643,0.9692541600813965,-0.005701609891032189,False,9,8,person,person,640.3726999997161,623.705300000438,True,True,ok
