attack_id,image_id,target_class,clean_image,patched_image,clean_detected,patched_detected,clean_confidence,patched_confidence,clean_bbox,patched_bbox,clean_iou,patched_iou,confidence_drop,iou_drop,eligible,attack_success,clean_prediction_count,patched_prediction_count,inference_time_ms_clean,inference_time_ms_patched
attack_05,2153,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000002153.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000002153.jpg,True,True,0.9295693635940552,0.9327331185340881,"[281.420166015625, 277.5711669921875, 466.1770935058594, 447.45965576171875]","[281.94683837890625, 277.285888671875, 466.0934753417969, 447.4267272949219]",0.9588622505793233,0.9629317207729629,-0.003163754940032959,-0.004069470193639568,True,False,300,300,54.427000002760906,54.28449999453733
attack_05,2299,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000002299.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000002299.jpg,False,False,,,,,,,,,False,False,300,300,55.86919999768725,55.228099998203106
attack_05,2532,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000002532.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000002532.jpg,True,True,0.9344651103019714,0.9326352477073669,"[182.7509307861328, 304.4381103515625, 285.805908203125, 477.80938720703125]","[182.38475036621094, 304.54339599609375, 285.06292724609375, 477.4900817871094]",0.9571048213244475,0.9629754852172145,0.0018298625946044922,-0.005870663892767025,True,False,300,300,54.93449999630684,54.11140000069281
attack_05,4395,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000004395.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000004395.jpg,True,True,0.9747510552406311,0.9755841493606567,"[-0.025002658367156982, 0.4598808288574219, 424.96673583984375, 635.6940307617188]","[-0.14320164918899536, 0.19428253173828125, 424.84478759765625, 635.7593383789062]",0.9904841682040131,0.9896151301820046,-0.0008330941200256348,0.0008690380220084393,True,False,300,300,55.62849999842001,55.990200002270285
attack_05,5060,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000005060.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000005060.jpg,True,True,0.9501392245292664,0.947381317615509,"[159.83877563476562, 308.28350830078125, 325.6292724609375, 499.32373046875]","[159.58570861816406, 308.31988525390625, 325.7598876953125, 499.2735595703125]",0.9773853719408879,0.9785468800074829,0.0027579069137573242,-0.001161508066594985,True,False,300,300,54.091300000436604,54.10969999502413
attack_05,6471,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000006471.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000006471.jpg,True,True,0.945383608341217,0.9429643750190735,"[267.331787109375, 74.68755340576172, 353.5503845214844, 298.787353515625]","[267.48138427734375, 74.90617370605469, 354.0079040527344, 298.7647705078125]",0.8544657872888107,0.8547967509026981,0.0024192333221435547,-0.0003309636138874028,True,False,300,300,54.48269999760669,54.51020000327844
attack_05,9891,car,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000009891.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000009891.jpg,True,True,0.9125637412071228,0.893258810043335,"[357.8446960449219, 89.97408294677734, 639.92529296875, 315.39788818359375]","[357.3538513183594, 89.97789001464844, 639.8970947265625, 314.4206237792969]",0.7176377334751898,0.7211519439654113,0.019304931163787842,-0.003514210490221492,True,False,300,300,55.15369999920949,55.09329999767942
attack_05,15335,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000015335.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000015335.jpg,True,True,0.8934873938560486,0.8716405630111694,"[364.1297607421875, 16.21710777282715, 639.8073120117188, 477.4419860839844]","[373.8230895996094, 15.93134880065918, 639.683349609375, 476.5271911621094]",0.9819922092788912,0.9621066338640307,0.02184683084487915,0.019885575414860468,True,False,300,300,56.33710000256542,57.003800000529736
attack_05,15338,car,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000015338.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000015338.jpg,True,True,0.4380539059638977,0.4507780969142914,"[0.18478870391845703, 187.82080078125, 32.61265182495117, 216.62054443359375]","[0.29112815856933594, 187.88966369628906, 32.0764274597168, 216.17991638183594]",0.9034439506563378,0.8975873449112173,-0.012724190950393677,0.00585660574512048,True,False,300,300,54.683900001691654,54.3080000061309
attack_05,15956,person,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\clean_images\000000015956.jpg,D:\project CS\RT-DETRv2-COCO-Attack\source_data\attack_05\patched_images\000000015956.jpg,True,True,0.9517784714698792,0.9538547396659851,"[370.821533203125, 139.0328826904297, 446.90399169921875, 339.1934509277344]","[370.59478759765625, 139.18820190429688, 447.0355224609375, 339.1272888183594]",0.9162590423700596,0.9170550356514944,-0.002076268196105957,-0.0007959932814347592,True,False,300,300,53.8961999991443,54.58169999474194
