image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,random_seed
785,000000000785.jpg,person,1,280.79,44.73,218.7,346.68,640,425,771733677
9891,000000009891.jpg,person,1,206.64,92.56,150.67,323.94,640,480,771733677
11197,000000011197.jpg,person,1,309.74,112.02,53.22,141.03,640,427,771733677
17178,000000017178.jpg,car,3,433.73,108.19,206.27,318.81,640,427,771733677
18150,000000018150.jpg,person,1,3.24,2.16,408.8,430.38,640,480,771733677
19786,000000019786.jpg,person,1,250.28,16.01,229.21,355.62,500,375,771733677
38118,000000038118.jpg,person,1,125.7,218.62,87.32,127.62,640,427,771733677
43737,000000043737.jpg,car,3,111.23,416.09,81.12,38.0,480,640,771733677
44590,000000044590.jpg,car,3,573.02,78.14,66.98,56.15,640,246,771733677
46463,000000046463.jpg,person,1,0.9,40.45,259.77,355.06,500,400,771733677
47740,000000047740.jpg,person,1,0.0,147.03,476.78,208.94,640,359,771733677
48396,000000048396.jpg,person,1,124.74,0.96,233.17,420.28,640,427,771733677
50679,000000050679.jpg,car,3,475.72,168.22,87.88,55.4,640,427,771733677
52507,000000052507.jpg,person,1,105.63,107.14,76.82,183.91,640,438,771733677
54593,000000054593.jpg,car,3,110.86,75.03,199.27,108.0,640,427,771733677
55950,000000055950.jpg,person,1,82.24,69.18,223.07,320.71,426,640,771733677
57597,000000057597.jpg,car,3,332.36,104.08,95.22,30.29,640,426,771733677
58539,000000058539.jpg,car,3,415.26,136.57,224.74,281.59,640,421,771733677
63965,000000063965.jpg,person,1,2.85,0.0,637.15,420.34,640,427,771733677
67213,000000067213.jpg,car,3,0.81,305.17,197.12,107.1,640,485,771733677
78404,000000078404.jpg,person,1,218.06,9.28,187.24,297.07,500,350,771733677
80022,000000080022.jpg,person,1,279.12,108.21,147.2,317.79,640,426,771733677
84170,000000084170.jpg,car,3,132.29,261.12,97.96,76.02,640,480,771733677
87038,000000087038.jpg,person,1,1,190,638,101,640,480,771733677
88462,000000088462.jpg,car,3,24.78,187.76,57.47,42.36,640,383,771733677
89556,000000089556.jpg,car,3,1.13,166.02,295.91,220.24,640,480,771733677
89697,000000089697.jpg,person,1,253.32,233.45,96.89,127.05,640,429,771733677
90284,000000090284.jpg,person,1,67.19,143.09,518.92,421.71,640,639,771733677
91495,000000091495.jpg,person,1,14.73,113.03,225.59,309.65,640,447,771733677
92416,000000092416.jpg,person,1,66.01,48.22,301.34,591.78,480,640,771733677
94751,000000094751.jpg,car,3,313.05,274.0,61.95,36.08,375,500,771733677
100624,000000100624.jpg,person,1,32.62,51.82,289.79,369.42,640,427,771733677
100723,000000100723.jpg,person,1,4,1,495,331,500,333,771733677
102805,000000102805.jpg,car,3,378.73,266.86,227.44,71.55,640,426,771733677
115946,000000115946.jpg,car,3,119.19,502.52,53.52,42.14,480,640,771733677
119445,000000119445.jpg,person,1,184.22,177.02,164.06,209.16,640,426,771733677
121506,000000121506.jpg,car,3,407.68,259.56,120.34,42.62,612,612,771733677
122606,000000122606.jpg,person,1,372.16,157.4,46.22,50.55,640,480,771733677
122672,000000122672.jpg,person,1,226.52,108.61,312.81,218.97,640,480,771733677
124798,000000124798.jpg,car,3,574.77,311.69,65.23,114.19,640,427,771733677
127092,000000127092.jpg,car,3,147.26,408.4,71.58,50.53,640,480,771733677
128675,000000128675.jpg,person,1,338.24,310.01,50.63,133.09,640,480,771733677
130699,000000130699.jpg,car,3,450.87,241.02,89.49,52.67,640,427,771733677
132544,000000132544.jpg,car,3,0.96,110.05,306.37,207.76,640,427,771733677
136633,000000136633.jpg,person,1,11.85,252.35,74.49,219.21,427,640,771733677
140270,000000140270.jpg,person,1,291.88,61.56,59.64,161.63,600,400,771733677
144706,000000144706.jpg,car,3,498.43,369.92,49.3,33.73,640,480,771733677
145597,000000145597.jpg,person,1,355.16,123.34,284.84,356.66,640,480,771733677
146667,000000146667.jpg,person,1,251.94,37.55,204.7,268.89,640,539,771733677
147725,000000147725.jpg,car,3,402.3,174.69,174.95,91.28,640,393,771733677
148662,000000148662.jpg,person,1,81.98,0.0,556.58,480.0,640,480,771733677
155341,000000155341.jpg,car,3,151.93,284.78,241.16,130.78,640,480,771733677
156071,000000156071.jpg,car,3,305.77,76.16,161.54,46.22,640,480,771733677
157365,000000157365.jpg,car,3,1.53,193.05,123.95,183.42,427,640,771733677
158744,000000158744.jpg,car,3,592.93,92.25,45.85,29.57,640,424,771733677
160556,000000160556.jpg,person,1,453.97,76.94,184.66,346.25,640,428,771733677
161128,000000161128.jpg,car,3,0.0,391.1,49.79,47.32,375,500,771733677
166768,000000166768.jpg,person,1,73.35,20.13,352.36,611.24,426,640,771733677
167122,000000167122.jpg,car,3,32.73,215.81,607.27,264.19,640,480,771733677
168330,000000168330.jpg,car,3,12.11,186.27,48.82,40.99,640,390,771733677
170116,000000170116.jpg,person,1,112.98,104.33,41.79,39.42,640,480,771733677
174371,000000174371.jpg,person,1,224.57,92.94,415.43,409.03,640,511,771733677
177015,000000177015.jpg,person,1,2.38,5.35,637.62,469.3,640,480,771733677
181303,000000181303.jpg,person,1,228.17,81.68,60.36,227.92,640,358,771733677
183246,000000183246.jpg,car,3,215.95,0.0,284.05,400.0,500,400,771733677
183391,000000183391.jpg,person,1,0,0,631,380,632,640,771733677
184324,000000184324.jpg,person,1,3,199,594,225,640,425,771733677
186624,000000186624.jpg,person,1,40.45,297.83,57.46,180.08,640,553,771733677
191013,000000191013.jpg,car,3,44.37,548.77,179.72,91.23,474,640,771733677
191672,000000191672.jpg,person,1,363.56,152.93,118.3,102.91,640,428,771733677
192670,000000192670.jpg,car,3,220.1,95.2,179.14,82.35,640,433,771733677
192716,000000192716.jpg,car,3,137.81,595.39,96.3,44.61,518,640,771733677
193926,000000193926.jpg,person,1,412.25,320.25,209.03,142.0,640,477,771733677
195842,000000195842.jpg,person,1,414.53,47.61,150.68,425.92,640,480,771733677
196141,000000196141.jpg,car,3,468.46,72.35,115.21,64.6,640,429,771733677
198489,000000198489.jpg,person,1,104.6,92.22,172.05,339.95,428,640,771733677
199771,000000199771.jpg,person,1,36.52,55.34,193.69,360.81,640,425,771733677
201934,000000201934.jpg,car,3,261.9,160.13,35.18,32.58,500,375,771733677
205105,000000205105.jpg,person,1,142.26,127.89,161.2,300.01,640,428,771733677
208423,000000208423.jpg,car,3,65.78,437.53,126.06,42.47,640,480,771733677
213593,000000213593.jpg,car,3,200.12,377.47,74.38,48.53,640,426,771733677
214200,000000214200.jpg,car,3,28.76,487.31,398.24,139.51,427,640,771733677
224051,000000224051.jpg,car,3,238.74,161.8,68.53,51.55,640,428,771733677
224119,000000224119.jpg,person,1,177.32,146.68,69.89,99.2,640,425,771733677
224807,000000224807.jpg,person,1,0,19,639,150,640,428,771733677
229216,000000229216.jpg,person,1,143.6,9.57,442.27,412.6,640,426,771733677
229601,000000229601.jpg,person,1,87.32,75.36,174.57,276.16,640,427,771733677
230008,000000230008.jpg,car,3,434.32,74.32,205.68,236.91,640,360,771733677
239537,000000239537.jpg,person,1,263.26,25.25,259.12,380.88,640,436,771733677
245320,000000245320.jpg,person,1,180.18,92.25,203.24,200.36,424,640,771733677
246454,000000246454.jpg,person,1,116.61,15.51,437.2,543.59,640,640,771733677
248752,000000248752.jpg,person,1,145.79,78.11,268.82,290.73,500,375,771733677
250127,000000250127.jpg,person,1,237.3,179.87,136.63,422.83,640,640,771733677
252294,000000252294.jpg,person,1,52.81,48.39,186.52,412.36,375,500,771733677
259690,000000259690.jpg,car,3,446.19,112.63,129.77,37.86,640,480,771733677
260266,000000260266.jpg,car,3,51.39,516.24,73.8,35.73,479,640,771733677
261535,000000261535.jpg,person,1,197.03,115.06,133.76,432.9,433,640,771733677
261982,000000261982.jpg,car,3,0.0,8.53,251.9,214.62,457,640,771733677
266400,000000266400.jpg,person,1,36.32,0.59,38.56,53.86,640,396,771733677
268000,000000268000.jpg,person,1,601.31,176.02,37.22,80.92,640,360,771733677
270677,000000270677.jpg,person,1,184.09,90.61,268.94,547.95,634,640,771733677
274272,000000274272.jpg,car,3,24.77,383.23,189.94,92.9,640,480,771733677
274411,000000274411.jpg,car,3,1.79,155.52,392.88,313.73,426,640,771733677
278848,000000278848.jpg,car,3,436.65,352.76,42.38,41.52,480,640,771733677
283037,000000283037.jpg,car,3,0.77,357.03,92.03,90.44,427,640,771733677
283038,000000283038.jpg,car,3,0.0,186.57,48.0,28.52,500,281,771733677
292155,000000292155.jpg,person,1,466.16,442.44,82.9,37.45,640,480,771733677
292415,000000292415.jpg,person,1,73.2,126.13,147.52,131.75,333,500,771733677
292997,000000292997.jpg,car,3,0.0,212.26,190.17,170.86,640,480,771733677
295420,000000295420.jpg,car,3,59.37,290.0,32.78,29.5,640,480,771733677
296224,000000296224.jpg,car,3,0.0,185.9,57.31,40.82,640,480,771733677
297578,000000297578.jpg,person,1,152.81,7.58,173.66,269.0,500,281,771733677
301135,000000301135.jpg,car,3,300.18,349.5,110.71,46.47,428,640,771733677
301376,000000301376.jpg,car,3,1.49,392.29,96.6,85.78,333,500,771733677
301421,000000301421.jpg,car,3,295.98,96.98,80.85,57.92,640,427,771733677
308531,000000308531.jpg,car,3,307.14,566.6,51.86,40.24,359,640,771733677
327306,000000327306.jpg,person,1,36.53,0.89,149.66,161.25,640,400,771733677
328601,000000328601.jpg,person,1,79.46,16.98,254.26,615.44,396,640,771733677
334417,000000334417.jpg,person,1,100.45,64.58,497.0,351.25,640,423,771733677
334555,000000334555.jpg,car,3,448.82,182.37,131.57,78.41,640,426,771733677
338560,000000338560.jpg,car,3,56.18,165.31,81.33,35.35,480,640,771733677
338625,000000338625.jpg,car,3,10.32,236.07,115.62,41.29,640,480,771733677
342397,000000342397.jpg,person,1,286.16,137.97,107.36,180.6,640,427,771733677
349860,000000349860.jpg,car,3,350.12,349.22,36.23,29.2,640,426,771733677
351823,000000351823.jpg,person,1,100.12,87.12,209.6,509.68,508,640,771733677
354753,000000354753.jpg,car,3,15.41,386.37,623.4,93.63,640,480,771733677
354829,000000354829.jpg,car,3,81.74,84.27,289.89,154.21,500,375,771733677
356612,000000356612.jpg,car,3,201.58,187.96,122.28,99.69,640,416,771733677
357978,000000357978.jpg,person,1,153.2,103.66,104.52,271.34,500,375,771733677
361142,000000361142.jpg,car,3,287.49,513.95,175.51,114.13,463,640,771733677
361506,000000361506.jpg,car,3,480.66,258.99,89.43,28.07,640,480,771733677
363188,000000363188.jpg,car,3,590.03,198.92,49.97,106.42,640,425,771733677
373353,000000373353.jpg,car,3,0,206,483,195,640,428,771733677
376284,000000376284.jpg,car,3,71.41,26.87,182.66,116.52,500,333,771733677
376322,000000376322.jpg,person,1,1,169,417,152,478,640,771733677
378515,000000378515.jpg,person,1,240.68,231.61,153.41,189.38,425,640,771733677
380913,000000380913.jpg,person,1,0.71,151.05,159.98,276.66,640,428,771733677
384468,000000384468.jpg,car,3,0.0,262.97,91.75,107.21,640,480,771733677
388215,000000388215.jpg,person,1,245.7,86.98,173.82,325.68,640,425,771733677
394510,000000394510.jpg,car,3,0.01,0.0,362.55,198.31,640,480,771733677
397303,000000397303.jpg,person,1,336.54,65.8,194.16,393.71,640,480,771733677
397351,000000397351.jpg,car,3,251.6,6.76,388.4,247.79,640,426,771733677
408120,000000408120.jpg,car,3,268.27,74.19,68.79,28.62,640,427,771733677
410650,000000410650.jpg,person,1,5,0,634,178,640,480,771733677
412362,000000412362.jpg,person,1,212.89,107.29,268.09,386.36,640,499,771733677
412531,000000412531.jpg,car,3,454.51,255.85,181.82,100.03,640,480,771733677
414385,000000414385.jpg,car,3,151.69,276.03,68.26,49.84,640,480,771733677
421060,000000421060.jpg,person,1,306,5,329,228,640,418,771733677
426372,000000426372.jpg,car,3,73.46,104.4,140.5,132.24,640,427,771733677
427055,000000427055.jpg,car,3,319.4,309.1,46.36,31.49,640,480,771733677
428562,000000428562.jpg,person,1,28.04,2.16,113.26,159.64,640,480,771733677
434459,000000434459.jpg,person,1,366.42,49.41,240.85,407.59,640,457,771733677
436738,000000436738.jpg,car,3,264.97,347.9,131.5,56.22,500,486,771733677
438017,000000438017.jpg,car,3,76.8,408.09,43.67,96.38,480,640,771733677
442463,000000442463.jpg,person,1,206.32,242.71,173.8,224.52,480,640,771733677
442746,000000442746.jpg,car,3,311.9,130.95,52.45,19.78,500,375,771733677
456662,000000456662.jpg,person,1,228.98,110.75,138.88,490.27,612,612,771733677
457884,000000457884.jpg,person,1,276.1,116.69,128.64,267.86,640,458,771733677
460147,000000460147.jpg,car,3,1,119,638,244,640,424,771733677
464476,000000464476.jpg,person,1,50.89,58.0,66.82,189.34,500,375,771733677
470952,000000470952.jpg,person,1,106.67,32.86,210.45,556.4,428,640,771733677
474078,000000474078.jpg,person,1,127.4,273.67,151.44,183.73,640,480,771733677
475484,000000475484.jpg,car,3,140.78,337.45,130.94,51.43,426,640,771733677
476119,000000476119.jpg,car,3,240.72,77.47,203.47,119.41,640,427,771733677
492284,000000492284.jpg,person,1,363.51,20.49,228.67,454.12,640,480,771733677
495732,000000495732.jpg,person,1,197.48,131.89,229.19,432.43,427,640,771733677
498032,000000498032.jpg,person,1,139.72,113.65,310.72,340.97,640,464,771733677
499181,000000499181.jpg,car,3,19.86,390.17,175.14,89.19,640,480,771733677
500613,000000500613.jpg,car,3,556.0,201.78,84.0,81.96,640,425,771733677
504415,000000504415.jpg,car,3,81.45,178.47,204.4,63.58,640,427,771733677
505942,000000505942.jpg,car,3,459.48,163.05,40.5,42.6,500,375,771733677
511999,000000511999.jpg,car,3,524.22,212.59,81.32,62.78,640,446,771733677
513580,000000513580.jpg,person,1,145.76,284.6,65.74,89.39,640,484,771733677
515025,000000515025.jpg,car,3,416.78,113.51,106.69,45.35,640,427,771733677
516038,000000516038.jpg,person,1,54.65,226.62,152.05,208.72,480,640,771733677
521259,000000521259.jpg,person,1,42.13,44.57,226.45,412.43,640,457,771733677
526392,000000526392.jpg,car,3,143.14,174.03,305.13,152.94,500,333,771733677
529148,000000529148.jpg,person,1,452.45,68.57,186.9,275.86,640,426,771733677
530099,000000530099.jpg,car,3,113.71,234.68,385.48,134.67,500,375,771733677
530820,000000530820.jpg,person,1,252.95,13.3,195.25,414.7,640,428,771733677
533816,000000533816.jpg,person,1,264.22,116.79,110.09,288.15,640,426,771733677
534394,000000534394.jpg,car,3,3.09,224.66,87.24,120.44,640,359,771733677
535608,000000535608.jpg,person,1,452.04,177.54,45.6,27.65,500,376,771733677
549055,000000549055.jpg,person,1,314.98,118.55,157.15,173.61,640,304,771733677
549930,000000549930.jpg,person,1,80.94,160.29,214.17,397.71,640,558,771733677
553669,000000553669.jpg,car,3,240.78,103.15,164.19,40.16,640,480,771733677
555050,000000555050.jpg,car,3,0.72,177.28,234.45,91.9,500,322,771733677
555597,000000555597.jpg,car,3,184.66,423.75,256.66,86.95,640,517,771733677
560474,000000560474.jpg,person,1,258.26,262.39,92.69,127.45,640,480,771733677
561679,000000561679.jpg,car,3,245.82,323.78,46.75,26.45,640,480,771733677
563653,000000563653.jpg,car,3,517.8,253.2,100.47,45.39,640,431,771733677
565563,000000565563.jpg,car,3,83.06,229.75,124.04,102.47,640,480,771733677
