attack_id,image_id,target_class,clean_image,patched_image,clean_detected,patched_detected,clean_confidence,patched_confidence,clean_bbox_x1,clean_bbox_y1,clean_bbox_x2,clean_bbox_y2,patched_bbox_x1,patched_bbox_y1,patched_bbox_x2,patched_bbox_y2,clean_iou,patched_iou,confidence_drop,iou_drop,eligible,attack_success
attack_04,1532,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000001532.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000001532.jpg,True,True,0.9553494453430176,0.9597512483596802,219.98497009277344,353.9073181152344,425.8625183105469,480.0000305175781,222.2362060546875,357.2305908203125,421.2583923339844,479.7331848144531,0.8904060513744173,0.9439131267665465,-0.004401803016662598,-0.05350707539212918,True,False
attack_04,7281,person,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000007281.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000007281.jpg,True,True,0.9993926286697388,0.6660473942756653,391.01470947265625,133.12315368652344,473.6512756347656,292.9288635253906,344.235595703125,156.5529022216797,446.44683837890625,289.7821044921875,0.6134599816209347,0.6312056852330505,0.3333452343940735,-0.017745703612115804,True,False
attack_04,8211,person,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000008211.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000008211.jpg,True,True,0.9975253939628601,0.997503936290741,326.46905517578125,203.12515258789062,405.6676940917969,348.8394775390625,327.3202819824219,202.3042755126953,405.2311096191406,350.0929870605469,0.905171644102322,0.8936388119012136,2.1457672119140625e-05,0.011532832201108345,True,False
attack_04,8690,person,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000008690.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000008690.jpg,True,True,0.9979054927825928,0.9982232451438904,104.78642272949219,19.88758087158203,353.9124755859375,394.4448547363281,101.29271697998047,18.996917724609375,362.5030822753906,393.4872131347656,0.8550451038254422,0.8156854631020024,-0.0003177523612976074,0.03935964072343978,True,False
attack_04,10363,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000010363.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000010363.jpg,True,True,0.9761550426483154,0.9852932095527649,89.1780776977539,18.67565155029297,639.988525390625,359.52508544921875,88.81417846679688,22.825803756713867,639.3847045898438,354.4931640625,0.9679588346555537,0.9633741109222989,-0.009138166904449463,0.004584723733254803,True,False
attack_04,11197,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000011197.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000011197.jpg,True,True,0.9990841150283813,0.9989483952522278,401.6350402832031,154.3570556640625,485.45611572265625,193.38478088378906,401.02459716796875,154.7388458251953,485.5464172363281,193.70803833007812,0.9430527838586229,0.9495105211932992,0.00013571977615356445,-0.00645773733467625,True,False
attack_04,15338,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000015338.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000015338.jpg,True,True,0.6818952560424805,0.7674747705459595,0.16037732362747192,188.1228485107422,32.72197341918945,217.03550720214844,0.626546323299408,187.92372131347656,32.38960647583008,217.25367736816406,0.88055431841486,0.8646350988319437,-0.085579514503479,0.01591921958291631,True,False
attack_04,16228,person,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000016228.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000016228.jpg,False,False,,,,,,,,,,,,,,,False,False
attack_04,17029,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000017029.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000017029.jpg,True,True,0.98867267370224,0.9948161244392395,47.78559494018555,28.6505069732666,558.8584594726562,176.21621704101562,47.01091384887695,23.98731803894043,553.7687377929688,176.37173461914062,0.9332323202231446,0.9291253773181919,-0.006143450736999512,0.004106942904952726,True,False
attack_04,17178,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000017178.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000017178.jpg,True,True,0.9914229512214661,0.9803858995437622,432.52337646484375,105.49948120117188,640.0,423.0832214355469,429.0747985839844,111.44080352783203,638.6791381835938,422.1733703613281,0.9738213735585163,0.9475788917716175,0.011037051677703857,0.026242481786898808,True,False
attack_04,17207,car,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\clean_images\000000017207.jpg,D:\project CS\Faster-RCNN-COCO-Attack\source_data\attack_04\patched_images\000000017207.jpg,True,True,0.357791930437088,0.28030598163604736,481.0859069824219,85.64977264404297,638.0460815429688,317.543701171875,486.30474853515625,82.8409423828125,638.5316772460938,313.3211669921875,0.9734807377658364,0.9500041076030183,0.07748594880104065,0.02347663016281809,True,False
