attack_id,image_id,filename,target_class,clean_detected,attacked_detected,clean_confidence,attacked_confidence,confidence_drop,confidence_drop_percent,clean_iou,attacked_iou,iou_drop,clean_total_detections,attacked_total_detections,detection_count_change,eligible_for_asr,attack_success,patch_filename,patch_size_pixels,patch_scale
attack_01,785,000000000785.jpg,person,Yes,Yes,0.921971,0.908687,0.013284,1.440826,0.984111,0.980518,0.003593,2,2,0,Yes,No,diffusion_patch_01.png,66,0.3
attack_01,9891,000000009891.jpg,person,Yes,Yes,0.904122,0.899176,0.004946,0.547050,0.907679,0.903008,0.004671,11,10,-1,Yes,No,diffusion_patch_01.png,45,0.3
attack_01,11197,000000011197.jpg,person,Yes,Yes,0.871216,0.855137,0.016079,1.845581,0.930632,0.930493,0.000138,15,14,-1,Yes,No,diffusion_patch_01.png,16,0.3
attack_01,17178,000000017178.jpg,car,Yes,Yes,0.797330,0.915292,-0.117962,-14.794627,0.969868,0.969215,0.000653,5,6,1,Yes,No,diffusion_patch_01.png,62,0.3
attack_01,18150,000000018150.jpg,person,Yes,Yes,0.884682,0.926069,-0.041387,-4.678178,0.911897,0.907578,0.004319,5,5,0,Yes,No,diffusion_patch_01.png,123,0.3
attack_01,19786,000000019786.jpg,person,Yes,Yes,0.841567,0.770381,0.071186,8.458744,0.971867,0.959391,0.012476,4,3,-1,Yes,No,diffusion_patch_01.png,69,0.3
attack_01,38118,000000038118.jpg,person,Yes,Yes,0.896954,0.899262,-0.002308,-0.257315,0.833036,0.832607,0.000430,1,1,0,Yes,No,diffusion_patch_01.png,26,0.3
attack_01,43737,000000043737.jpg,car,Yes,Yes,0.352254,0.358103,-0.005849,-1.660450,0.805343,0.880439,-0.075096,5,5,0,Yes,No,diffusion_patch_01.png,11,0.3
attack_01,44590,000000044590.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,26,25,-1,No,No,diffusion_patch_01.png,17,0.3
attack_01,46463,000000046463.jpg,person,Yes,Yes,0.416502,0.345976,0.070526,16.932932,0.553051,0.909069,-0.356018,2,3,1,Yes,No,diffusion_patch_01.png,78,0.3
attack_01,47740,000000047740.jpg,person,Yes,Yes,0.819695,0.802185,0.017510,2.136160,0.968074,0.978970,-0.010896,3,2,-1,Yes,No,diffusion_patch_01.png,63,0.3
attack_01,48396,000000048396.jpg,person,Yes,Yes,0.957260,0.952633,0.004627,0.483359,0.980505,0.976082,0.004423,7,7,0,Yes,No,diffusion_patch_01.png,70,0.3
attack_01,50679,000000050679.jpg,car,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,11,12,1,No,No,diffusion_patch_01.png,17,0.3
attack_01,52507,000000052507.jpg,person,Yes,Yes,0.679109,0.781171,-0.102062,-15.028810,0.961951,0.817437,0.144513,2,2,0,Yes,No,diffusion_patch_01.png,23,0.3
attack_01,54593,000000054593.jpg,car,Yes,Yes,0.832925,0.771043,0.061882,7.429480,0.984586,0.978297,0.006290,10,9,-1,Yes,No,diffusion_patch_01.png,32,0.3
attack_01,55950,000000055950.jpg,person,Yes,Yes,0.938063,0.926540,0.011523,1.228382,0.971370,0.972957,-0.001587,3,3,0,Yes,No,diffusion_patch_01.png,67,0.3
attack_01,57597,000000057597.jpg,car,No,Yes,0.000000,0.323922,-0.323922,,0.000000,0.595921,-0.595921,22,22,0,No,No,diffusion_patch_01.png,9,0.3
attack_01,58539,000000058539.jpg,car,Yes,Yes,0.855636,0.732794,0.122842,14.356806,0.969461,0.968363,0.001099,10,12,2,Yes,No,diffusion_patch_01.png,67,0.3
attack_01,63965,000000063965.jpg,person,Yes,No,0.268449,0.000000,0.268449,100.000000,0.924094,0.000000,0.924094,3,4,1,Yes,Yes,diffusion_patch_01.png,126,0.3
attack_01,67213,000000067213.jpg,car,Yes,Yes,0.477677,0.525998,-0.048321,-10.115831,0.954475,0.949405,0.005070,14,14,0,Yes,No,diffusion_patch_01.png,32,0.3
attack_01,78404,000000078404.jpg,person,Yes,Yes,0.877510,0.875254,0.002256,0.257091,0.918004,0.923810,-0.005806,7,7,0,Yes,No,diffusion_patch_01.png,56,0.3
attack_01,80022,000000080022.jpg,person,Yes,Yes,0.929261,0.932636,-0.003375,-0.363192,0.936086,0.939303,-0.003217,3,4,1,Yes,No,diffusion_patch_01.png,44,0.3
attack_01,84170,000000084170.jpg,car,Yes,Yes,0.907223,0.912588,-0.005365,-0.591365,0.857509,0.860932,-0.003423,6,6,0,Yes,No,diffusion_patch_01.png,23,0.3
attack_01,87038,000000087038.jpg,person,No,No,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,14,14,0,No,No,diffusion_patch_01.png,30,0.3
attack_01,88462,000000088462.jpg,car,Yes,Yes,0.801753,0.744130,0.057623,7.187126,0.903080,0.902589,0.000491,11,11,0,Yes,No,diffusion_patch_01.png,13,0.3
attack_01,89556,000000089556.jpg,car,Yes,Yes,0.909548,0.916983,-0.007435,-0.817439,0.949521,0.958921,-0.009400,15,15,0,Yes,No,diffusion_patch_01.png,66,0.3
attack_01,89697,000000089697.jpg,person,Yes,Yes,0.856595,0.748333,0.108262,12.638645,0.958940,0.837900,0.121040,5,5,0,Yes,No,diffusion_patch_01.png,29,0.3
attack_01,90284,000000090284.jpg,person,Yes,Yes,0.886276,0.880610,0.005666,0.639304,0.962708,0.962753,-0.000045,2,2,0,Yes,No,diffusion_patch_01.png,127,0.3
attack_01,91495,000000091495.jpg,person,Yes,Yes,0.870162,0.795365,0.074797,8.595756,0.990558,0.977759,0.012799,4,4,0,Yes,No,diffusion_patch_01.png,68,0.3
