image_id,filename,target_class,class_id,gt_bbox_x,gt_bbox_y,gt_bbox_width,gt_bbox_height,detected,predicted_class,confidence,pred_bbox_x,pred_bbox_y,pred_bbox_width,pred_bbox_height,iou,total_detections,verification_image
413552,000000413552.jpg,person,1,0.0,0.0,426.0,640.0,Yes,person,0.77113,4.609959000000032,19.31935999999996,420.91569,618.1331200000001,0.9543057831450004,2,results/clean_predictions/verification/verify_000000413552.jpg
500716,000000500716.jpg,person,1,0.0,0.0,445.0,500.0,Yes,person,0.798995,0.0,0.00025000000002251,431.25484,497.63849999999996,0.9645348840239997,1,results/clean_predictions/verification/verify_000000500716.jpg
20992,000000020992.jpg,person,1,0.0,0.45,500.0,332.55,Yes,person,0.869848,0.9225000000000136,3.5715914999999825,498.249,325.233441,0.9745736685900411,1,results/clean_predictions/verification/verify_000000020992.jpg
72795,000000072795.jpg,person,1,0.0,0.0,639.0,479.0,Yes,person,0.835587,514.7059200000001,243.17352000000005,124.88576,235.9416,0.09571683159189497,15,results/clean_predictions/verification/verify_000000072795.jpg
191845,000000191845.jpg,person,1,0.0,0.0,639.0,360.0,Yes,person,0.648373,488.77536,9.087272500000005,65.70048,113.680705,0.03246773119995825,43,results/clean_predictions/verification/verify_000000191845.jpg
364884,000000364884.jpg,person,1,0.0,0.0,499.0,353.0,Yes,person,0.663215,322.07065,164.93670659999998,40.6237,20.3076348,0.00468342500198561,6,results/clean_predictions/verification/verify_000000364884.jpg
261097,000000261097.jpg,person,1,0.0,0.0,332.0,499.0,Yes,person,0.89548,129.51169199999998,188.8995,67.879386,234.246,0.09597794778083879,8,results/clean_predictions/verification/verify_000000261097.jpg
12670,000000012670.jpg,person,1,1.0,0.0,638.0,427.0,Yes,person,0.766197,473.67424000000005,242.695046,141.66784,182.7667,0.0950429239974452,17,results/clean_predictions/verification/verify_000000012670.jpg
5586,000000005586.jpg,person,1,0.0,0.0,319.0,239.0,Yes,person,0.810064,131.76224,170.17908000000003,68.77888,55.29864,0.049886262309298136,5,results/clean_predictions/verification/verify_000000005586.jpg
299553,000000299553.jpg,person,1,1.0,0.0,373.0,499.0,Yes,person,0.750816,298.39136249999996,344.3915,28.498275000000003,80.201,0.012279734553691819,13,results/clean_predictions/verification/verify_000000299553.jpg
23272,000000023272.jpg,car,3,0.0,0.08,499.46,370.98,Yes,car,0.37413,1.5144999999999698,61.999124999999964,498.309,312.24675,0.8230163659157118,2,results/clean_predictions/verification/verify_000000023272.jpg
407083,000000407083.jpg,car,3,0.0,1.66,480.0,623.38,Yes,car,0.353103,0.0,85.04448000000002,475.53792,554.95552,0.8382559394009172,4,results/clean_predictions/verification/verify_000000407083.jpg
260925,000000260925.jpg,car,3,1.08,28.65,638.92,445.4,Yes,car,0.686026,0.2009599999999523,27.654480000000007,634.3104000000001,452.34576,0.9749736465050218,2,results/clean_predictions/verification/verify_000000260925.jpg
65485,000000065485.jpg,car,3,7.36,34.36,632.64,329.64,No,,0.0,0.0,0.0,0.0,0.0,0.0,1,results/clean_predictions/verification/verify_000000065485.jpg
421455,000000421455.jpg,car,3,2.52,2.24,454.04,363.23,Yes,car,0.724716,445.01085000000006,289.57599374999995,31.017300000000002,30.708262499999996,0.0021426832955640804,1,results/clean_predictions/verification/verify_000000421455.jpg
466156,000000466156.jpg,car,3,0.0,18.75,500.0,329.84,Yes,car,0.5123,239.44449999999998,34.35015,24.055,12.0102,0.0017517909349987855,4,results/clean_predictions/verification/verify_000000466156.jpg
10363,000000010363.jpg,car,3,90.83,27.17,549.17,333.83,Yes,car,0.730598,18.059200000000033,28.010531500000013,620.74304,326.820159,0.8646917669799248,4,results/clean_predictions/verification/verify_000000010363.jpg
215723,000000215723.jpg,car,3,1.08,97.08,638.92,377.53,Yes,car,0.621824,1.3539199999999596,59.09783999999999,636.06208,420.70032,0.8937808314003771,5,results/clean_predictions/verification/verify_000000215723.jpg
560474,000000560474.jpg,car,3,0.0,119.73,640.0,354.88,Yes,car,0.423729,1.0393599999999878,178.65624000000003,632.6771200000001,300.03504,0.8151450839709132,11,results/clean_predictions/verification/verify_000000560474.jpg
263463,000000263463.jpg,car,3,0.96,71.76,544.76,355.24,Yes,car,0.533954,64.18111999999999,66.08785749999996,496.27007999999995,352.371929,0.8287685600398047,5,results/clean_predictions/verification/verify_000000263463.jpg
