attack_id,image_id,filename,target_class,class_id,clean_detected,clean_confidence,clean_iou,clean_total_detections,clean_best_same_class_confidence,clean_best_same_class_iou,attacked_detected,attacked_confidence,attacked_iou,attacked_total_detections,attacked_best_same_class_confidence,attacked_best_same_class_iou,confidence_drop,iou_drop,detection_count_change,patch_filename,patch_size_pixels,patch_scale,patch_center_x,patch_center_y,eligible_for_asr,attack_success
attack_02,1296,000000001296.jpg,person,1,Yes,0.87465,0.9742266682055417,5,0.87465,0.9742266682055417,Yes,0.885164,0.9745773601236855,4,0.885164,0.9745773601236855,-0.010513999999999912,-0.0003506919181437418,-1,diffusion_patch_02.png,126,0.3,217.07999999999998,318.705,Yes,No
attack_02,1353,000000001353.jpg,person,1,Yes,0.752794,0.88653517606651,6,0.752794,0.88653517606651,Yes,0.795477,0.873397080340148,7,0.795477,0.873397080340148,-0.042683000000000026,0.013138095726362042,1,diffusion_patch_02.png,38,0.3,202.60500000000002,290.38,Yes,No
attack_02,1532,000000001532.jpg,car,3,Yes,0.829359,0.9407334512612511,9,0.829359,0.9407334512612511,Yes,0.823531,0.9411640541809471,7,0.823531,0.9411640541809471,0.005827999999999944,-0.0004306029196959882,-2,diffusion_patch_02.png,35,0.3,322.745,420.84999999999997,Yes,No
attack_02,5001,000000005001.jpg,person,1,Yes,0.859653,0.902732425442845,18,0.859653,0.902732425442845,Yes,0.862441,0.8891971611699063,21,0.862441,0.8891971611699063,-0.0027880000000000127,0.013535264272938718,3,diffusion_patch_02.png,49,0.3,436.315,280.99,Yes,No
attack_02,5193,000000005193.jpg,person,1,Yes,0.918231,0.9461590124130473,11,0.918231,0.9461590124130473,Yes,0.926753,0.9504832456062432,12,0.926753,0.9504832456062432,-0.00852200000000003,-0.004324233193195859,1,diffusion_patch_02.png,65,0.3,110.31,255.0,Yes,No
attack_02,9590,000000009590.jpg,person,1,Yes,0.900567,0.9334095519062564,21,0.900567,0.9334095519062564,Yes,0.887392,0.9280094606815582,21,0.887392,0.9280094606815582,0.013175000000000048,0.0054000912246982,0,diffusion_patch_02.png,71,0.3,118.505,239.89000000000001,Yes,No
attack_02,12120,000000012120.jpg,person,1,No,0.0,0.0,12,0.912634,0.027556067295373934,No,0.0,0.0,12,0.912844,0.027615744277173393,0.0,0.0,0,diffusion_patch_02.png,87,0.3,320.0,144.5,No,No
attack_02,15338,000000015338.jpg,car,3,Yes,0.283718,0.8596497750230144,5,0.283718,0.8596497750230144,No,0.0,0.0,4,0.473746,0.0,0.283718,0.8596497750230144,-1,diffusion_patch_02.png,8,0.3,16.325,200.885,Yes,Yes
attack_02,17207,000000017207.jpg,car,3,No,0.0,0.0,6,0.804617,0.0,No,0.0,0.0,7,0.800646,0.0,0.0,0.0,1,diffusion_patch_02.png,47,0.3,560.345,200.34,No,No
attack_02,18770,000000018770.jpg,person,1,Yes,0.923841,0.9118196325887664,2,0.923841,0.9118196325887664,Yes,0.885787,0.9193102515681267,3,0.885787,0.9193102515681267,0.03805400000000003,-0.0074906189793603195,1,diffusion_patch_02.png,127,0.3,406.955,211.825,Yes,No
attack_02,18837,000000018837.jpg,car,3,Yes,0.612429,0.7098298578207624,8,0.612429,0.7098298578207624,Yes,0.511044,0.7111993193150795,8,0.511044,0.7111993193150795,0.10138499999999995,-0.001369461494317159,0,diffusion_patch_02.png,10,0.3,607.8000000000001,278.155,Yes,No
attack_02,21839,000000021839.jpg,car,3,Yes,0.468062,0.7579850683997973,11,0.468062,0.7579850683997973,Yes,0.341677,0.7125752424929798,10,0.341677,0.7125752424929798,0.12638499999999997,0.045409825906817525,-1,diffusion_patch_02.png,10,0.3,16.22,487.525,Yes,No
attack_02,24243,000000024243.jpg,person,1,Yes,0.939824,0.967459628548846,8,0.939824,0.967459628548846,Yes,0.931995,0.961611804687777,7,0.931995,0.961611804687777,0.007828999999999975,0.005847823861069079,-1,diffusion_patch_02.png,80,0.3,174.495,266.95,Yes,No
attack_02,25393,000000025393.jpg,car,3,Yes,0.737259,0.657053300465481,7,0.737259,0.657053300465481,Yes,0.742224,0.6380033018750814,6,0.742224,0.6380033018750814,-0.004964999999999997,0.019049998590399686,-1,diffusion_patch_02.png,13,0.3,44.75,219.135,Yes,No
attack_02,26926,000000026926.jpg,car,3,Yes,0.252646,0.7606389546161549,3,0.252646,0.7606389546161549,No,0.0,0.0,2,0.687613,0.004615504709216762,0.252646,0.7606389546161549,-1,diffusion_patch_02.png,22,0.3,171.35999999999999,202.5,Yes,Yes
attack_02,33759,000000033759.jpg,person,1,Yes,0.906027,0.9597589859076827,4,0.906027,0.9597589859076827,Yes,0.91567,0.9558958354456935,3,0.91567,0.9558958354456935,-0.009642999999999957,0.003863150461989262,-1,diffusion_patch_02.png,58,0.3,173.04500000000002,253.14499999999998,Yes,No
attack_02,33854,000000033854.jpg,car,3,Yes,0.847102,0.9630806982415988,15,0.847102,0.9630806982415988,Yes,0.374039,0.7384109914779037,17,0.374039,0.7384109914779037,0.473063,0.22466970676369513,2,diffusion_patch_02.png,61,0.3,135.12,319.29,Yes,No
attack_02,35682,000000035682.jpg,person,1,Yes,0.93495,0.8914522311802131,12,0.93495,0.8914522311802131,Yes,0.924131,0.8869865356933815,10,0.924131,0.8869865356933815,0.010818999999999912,0.004465695486831622,-2,diffusion_patch_02.png,77,0.3,225.07999999999998,156.14,Yes,No
attack_02,40083,000000040083.jpg,car,3,Yes,0.958043,0.964778753221616,10,0.958043,0.964778753221616,Yes,0.923663,0.9659408651672103,10,0.923663,0.9659408651672103,0.034379999999999966,-0.0011621119455943463,0,diffusion_patch_02.png,22,0.3,194.07,172.76500000000001,Yes,No
attack_02,41633,000000041633.jpg,car,3,Yes,0.581611,0.7879915479303589,3,0.581611,0.7879915479303589,Yes,0.458312,0.75807073924178,3,0.458312,0.75807073924178,0.12329899999999999,0.029920808688578826,0,diffusion_patch_02.png,13,0.3,594.485,348.945,Yes,No
attack_02,50380,000000050380.jpg,person,1,Yes,0.930351,0.9677881830232922,9,0.930351,0.9677881830232922,Yes,0.937087,0.9716677744328437,8,0.937087,0.9716677744328437,-0.006735999999999964,-0.0038795914095515194,-1,diffusion_patch_02.png,66,0.3,441.39,211.02,Yes,No
attack_02,53626,000000053626.jpg,person,1,Yes,0.90047,0.9542513151106049,7,0.90047,0.9542513151106049,Yes,0.898231,0.9490460837383932,9,0.898231,0.9490460837383932,0.002238999999999991,0.005205231372211738,2,diffusion_patch_02.png,29,0.3,173.675,263.245,Yes,No
attack_02,54967,000000054967.jpg,car,3,No,0.0,0.0,21,0.848769,0.18049524337097445,No,0.0,0.0,19,0.539164,0.18678907382769236,0.0,0.0,-2,diffusion_patch_02.png,16,0.3,96.0,447.0,No,No
